usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type,inference_geo,speed
2026-03-06,Claude Sonnet 4,Default,sam,message,≤ 200k,input_no_cache,0.89,token,not_available,
2026-03-06,Claude Sonnet 4,Default,sam,message,≤ 200k,output,0.15,token,not_available,
2026-03-06,Claude Sonnet 4.6,Default,sam,message,≤ 200k,input_no_cache,0.01,token,global,
2026-03-06,Claude Sonnet 4.6,Default,sam,message,≤ 200k,input_cache_read,0.35,token,global,
2026-03-06,Claude Sonnet 4.6,Default,sam,message,≤ 200k,input_cache_write_5m,0.46,token,global,
2026-03-06,Claude Sonnet 4.6,Default,sam,message,≤ 200k,output,0.44,token,global,
2026-03-07,Claude Sonnet 4,Default,sam,message,≤ 200k,input_no_cache,1.04,token,not_available,
2026-03-07,Claude Sonnet 4,Default,sam,message,≤ 200k,output,0.17,token,not_available,
2026-03-07,Claude Sonnet 4.5,Default,sam,message,≤ 200k,input_no_cache,0.00,token,not_available,
2026-03-07,Claude Sonnet 4.5,Default,sam,message,≤ 200k,input_cache_read,0.39,token,not_available,
2026-03-07,Claude Sonnet 4.5,Default,sam,message,≤ 200k,input_cache_write_5m,1.26,token,not_available,
2026-03-07,Claude Sonnet 4.5,Default,sam,message,≤ 200k,output,0.35,token,not_available,
2026-03-08,Claude Opus 4,Default,sam,message,≤ 200k,input_no_cache,1.16,token,not_available,
2026-03-08,Claude Opus 4,Default,sam,message,≤ 200k,output,0.89,token,not_available,
2026-03-08,Claude Sonnet 4,Default,sam,message,≤ 200k,input_no_cache,0.33,token,not_available,
2026-03-08,Claude Sonnet 4,Default,sam,message,≤ 200k,output,0.04,token,not_available,
